card_name,cate,card_type
신한카드 Unboxing,쇼핑,신용카드
신한카드 Deep Store,쇼핑,신용카드
신한카드 Deep On Platinum+,쇼핑,신용카드
신한카드 Always FAN,쇼핑,신용카드
신한카드 Shopping,쇼핑,신용카드
BC 부자되세요 홈쇼핑 신한카드,쇼핑,신용카드
신한카드 Eats More(곰표),외식/카페,신용카드
신한카드 Eats More(이츠모아),외식/카페,신용카드
신한카드 YOLO ⓘ,외식/카페,신용카드
신한카드 YOLO Tasty,외식/카페,신용카드
신한카드 EVerywhere,주유/교통,신용카드
신한카드 Deep Oil,주유/교통,신용카드
신한카드 RPM+ Platinum#,주유/교통,신용카드
수소차 충전할인 신한카드,주유/교통,신용카드
티머니 Pay & GO 신한카드,주유/교통,신용카드
신한카드 B.Big(삑),주유/교통,신용카드
신한카드 MY CAR,주유/교통,신용카드
GS칼텍스 신한카드 Shine,주유/교통,신용카드
신한카드 후불하이패스+ (하이패스 전용),주유/교통,신용카드
신한카드 후불하이패스+(SIM형),주유/교통,신용카드
(배민커넥트) 신한카드 Deep Oil 카드,주유/교통,신용카드
신한카드 Edu,문화/교육,신용카드
신한카드 Lesson Platinum#,문화/교육,신용카드
아시아나 신한카드 Air 1.5,여행/항공,신용카드
신한카드 Air One,여행/항공,신용카드
신한카드 Air Platinum#,여행/항공,신용카드
신한카드 주거래 신용,통신/금융,신용카드
GS Prime 신한카드 체크,쇼핑,체크카드
아모레퍼시픽 신한카드 체크,쇼핑,체크카드
L.PAY 신한카드 체크,쇼핑,체크카드
마이 홈플러스 신한카드 체크,쇼핑,체크카드
신세계 신한카드 체크,쇼핑,체크카드
CJ ONE 신한카드 체크,쇼핑,체크카드
메가쇼핑 신한카드 체크,쇼핑,체크카드
다이소 신한카드 체크,쇼핑,체크카드
탑마트 보너스포인트 신한카드 체크,쇼핑,체크카드
요기패스 신한카드 체크,외식/카페,체크카드
투썸플레이스 신한카드 체크,외식/카페,체크카드
EDIYA 신한카드 체크,외식/카페,체크카드
더본 신한카드 체크,외식/카페,체크카드
요기요 신한카드 체크,외식/카페,체크카드
신한카드 S-Choice(선택형) 체크,외식/카페,체크카드
신한카드 하이패스(전용) 체크,주유/교통,체크카드
신한카드 하이패스(전용) 체크(SIM형),주유/교통,체크카드
SOCAR 제휴 SOCAR 신한카드 체크,주유/교통,체크카드
신한카드 TEENS(틴즈) PLUS PONEY 체크 후불교통,문화/교육,체크카드
신한카드 TEENS(틴즈) PLUS PONEY 체크,문화/교육,체크카드
신한카드 JYP Fan’s EDM 체크,문화/교육,체크카드
KBO 제휴 신한카드 MY KBO 체크,문화/교육,체크카드
리디 신한카드 체크,문화/교육,체크카드
신한카드 FANtastic S 체크,여행/항공,체크카드
신한카드 Global Air 스카이패스 체크,여행/항공,체크카드
신한카드 Global Air 아시아나 체크,여행/항공,체크카드
신한카드 Global + 체크,여행/항공,체크카드
Plan YES 신한카드 Global+ 체크,통신/금융,체크카드
신한카드 Finnq 체크,통신/금융,체크카드
신한플러스 멤버십 체크,통신/금융,체크카드
KT 신한카드 체크,통신/금융,체크카드
신한카드 Change-Up 체크,통신/금융,체크카드
신한투자증권 CMA R+ 신한카드 Love 체크,통신/금융,체크카드
신한카드 주거래 체크,통신/금융,체크카드
삼성증권 CMA 신한카드 Big Plus 체크,통신/금융,체크카드
